,plot,latitude,longitude,slope,aspect,date,sample_year,type,a_grass_cover,p_grass_cover,forb_cover,forb_gm2,a_grass_gm2,p_grass_gm2
2,bm_01_s,41.287979,-117.08293,6,258,07/11/2018,2018,shrub,0.4,10.8,0.1,0.3,1.5,29.62
4,bm_02_g,41.03275,-117.3472,1,108,07/11/2018,2018,grass,21.6,0,4.6,15.02,122.58,0
6,bm_03_s,41.19685,-117.39631,3,80,07/11/2018,2018,shrub,3.9,11.2,0.9,0.5,10.52,32.78
8,bm_04_g,41.11985,-117.70377,1,70,07/10/2018,2018,grass,11,0,0.6,24.82,100.56,0
10,bm_05_g,41.18649,-117.69196,2,100,07/09/2018,2018,grass,7.6,0,7,10.56,52.6,0
12,bm_06_g,41.27274,-117.68672,1,70,07/09/2018,2018,grass,9.2,0,4.6,32.26,63.18,0
14,bm_07_s,41.3116,-117.68929,4,208,07/09/2018,2018,shrub,3.2,4.8,1.2,2.56,10.74,17.12
16,bm_08_s,41.34872,-117.72833,4,231,07/09/2018,2018,shrub,2.6,4.2,4,8.26,17.98,19.72
18,bm_09_g,41.40956,-117.7868,5,248,07/09/2018,2018,grass,17.6,0.1,8,27.14,106.22,0.46
20,bm_10_s,41.36963,-117.75826,4,226,07/09/2018,2018,shrub,0.7,8.2,0.2,0.36,0.82,18.16
22,bm_11_g,41.61427,-117.76736,4,252,07/08/2018,2018,grass,10,3.2,0,6.22,35.88,0
24,bm_12_s,41.60935,-117.7543,5,202,07/08/2018,2018,shrub,6.6,3.1,0.7,1.36,19.52,1.38
26,bm_13_g,41.68896,-117.7774,1,312,07/08/2018,2018,grass,11.6,0.8,2.1,1.58,36.54,1.5
28,bm_14_s,41.71459,-117.76859,1,23,07/08/2018,2018,shrub,2,9.8,0.2,0.28,3.78,22.82
30,bm_15_s,41.62133,-118.24458,1,100,07/08/2018,2018,shrub,7,0,0.4,0.06,61.94,0
32,bm_16_g,41.63688,-118.244,1,88,07/08/2018,2018,grass,13.8,0,6,17.52,91.98,0
34,bm_17_g,41.69444,-117.96001,2,313,07/08/2018,2018,grass,21.8,0.4,1.9,11.76,90.34,0.02
36,bm_18_s,41.54023,-117.76968,4,313,07/09/2018,2018,shrub,15.3,1.6,0.6,0.76,63.32,6.16
38,bm_19_s,41.04498,-117.7167,4,330,07/10/2018,2018,shrub,9.8,4.6,0.8,0.84,113.46,29.62
40,bm_20_s,40.9824,-117.57502,4,46,07/12/2018,2018,shrub,22.9,3.4,0.5,0.36,121.18,8.02
42,bm_21_g,41.02617,-117.60491,1,43,07/12/2018,2018,grass,16,0,3.3,18.28,71.38,0
44,bm_22_g,41.01912,-117.73097,3,62,07/10/2018,2018,grass,14.4,0,4.4,5.66,108.94,0
